,Surname,Forename,Votes,Share,Elected,Description,Length of term,Turnout,Ward,Electorate
276,Rees,Philip John,974,4.4,,Conservative Party Candidate,,43.4, Otley and Yeadon,17688
277,Arbuckle,Jude Patrick,247,1.3,,Liberal Democrats,,38.2, Pudsey,18832
278,Coulson,Mick,2731,13.8,,Labour Party,,38.2, Pudsey,18832
279,Cunningham,Lou,2698,13.7,,Labour Party,,38.2, Pudsey,18832
280,Glover,Christine Amy,460,2.3,,Liberal Democrats,,38.2, Pudsey,18832
281,Harrison,Mark Thomas,3099,15.7,ELECTED,Conservative Party Candidate,2 Years,38.2, Pudsey,18832
282,Hart,Helen Lesley,545,2.8,,Green Party,,38.2, Pudsey,18832
283,Hughes,Martin Gareth,190,1.0,,Liberal Democrats,,38.2, Pudsey,18832
284,Lewis,Richard Alwyn,2976,15.1,ELECTED,Labour Party,1 Year,38.2, Pudsey,18832
285,Neve,Mark Johnathan,2901,14.7,,Conservative Party Candidate,,38.2, Pudsey,18832
286,O'Neill,Conor Andrew,570,2.9,,The Yorkshire Party,,38.2, Pudsey,18832
287,Seary,Simon Anthony,3324,16.8,ELECTED,Conservative Party Candidate,4 Years,38.2, Pudsey,18832
288,Ahad,Shazar,686,4.1,,Conservative Party Candidate,,37.7, Rothwell,16104
289,Aliremzioglu,Ali,358,2.2,,Green Party,,37.7, Rothwell,16104
290,Boycott,Joe,1254,7.5,,Conservative Party Candidate,,37.7, Rothwell,16104
291,Bruce,Karen,2326,14.0,ELECTED,Labour Party,1 Year,37.7, Rothwell,16104
292,Burke,Sharon,1645,9.9,,Labour Party,,37.7, Rothwell,16104
293,Golton,Stewart,3167,19.0,ELECTED,Liberal Democrats,4 Years,37.7, Rothwell,16104
294,Harrison,Carmel Francess,2338,14.0,ELECTED,Liberal Democrats,2 Years,37.7, Rothwell,16104
295,Long,Melieha Ruth,855,5.1,,Conservative Party Candidate,,37.7, Rothwell,16104
296,Nagle,David Patrick,1857,11.2,,Labour Party,,37.7, Rothwell,16104
297,Yates,Patricia,2157,13.0,,Liberal Democrats,,37.7, Rothwell,16104
298,Arif,Farzana,1612,7.3,,Conservative Party Candidate,,45.1, Roundhay,17403
299,Christie,Malcolm Scott,390,1.8,,Alliance for Green Socialism,,45.1, Roundhay,17403
300,Cohen,Elayna Beverley,1661,7.6,,Conservative Party Candidate,,45.1, Roundhay,17403
301,Ellis,Paul Charles,1007,4.6,,Green Party,,45.1, Roundhay,17403
302,Goddard,Jacob Stephen,4131,18.8,ELECTED,Labour Party,1 Year,45.1, Roundhay,17403
303,Hannah,Jon Charles,888,4.0,,Liberal Democrats,,45.1, Roundhay,17403
304,Iqbal,Najeeb,598,2.7,,Liberal Democrats,,45.1, Roundhay,17403
305,Khan,Aftab,1318,6.0,,Conservative Party Candidate,,45.1, Roundhay,17403
306,Mason,Rory Thomas,621,2.8,,Liberal Democrats,,45.1, Roundhay,17403
307,Quinn,Tony,1348,6.1,,Independent,,45.1, Roundhay,17403
308,Tunnicliffe,Eleanor Judith,4203,19.2,ELECTED,Labour Party,4 Years,45.1, Roundhay,17403
309,Wenham,Angela Ruvena,4165,19.0,ELECTED,Labour Party,2 Years,45.1, Roundhay,17403
310,Coupar,Debra,2641,17.9,ELECTED,Labour Party,4 Years,36.2, Temple Newsam,16581
311,Deacon,Neale Arthur,2062,14.0,,Conservative Party Candidate,,36.2, Temple Newsam,16581
312,Hayden,Helen Elizabeth Mary,2603,17.7,ELECTED,Labour Party,2 Years,36.2, Temple Newsam,16581
313,Hayes,Elizabeth Mary,2113,14.3,,Conservative Party Candidate,,36.2, Temple Newsam,16581
314,Hayes,Robert Scott,1739,11.8,,Conservative Party Candidate,,36.2, Temple Newsam,16581
315,Love,Fiona Sarah Heather,610,4.1,,Green Party,,36.2, Temple Newsam,16581
316,Lyons,Mick,2482,16.9,ELECTED,Labour Party,1 Year,36.2, Temple Newsam,16581
317,Norman,Keith Cecil,478,3.2,,Liberal Democrats,,36.2, Temple Newsam,16581
318,Basu,Angelo,695,3.8,,Conservative Party Candidate,,40.8, Weetwood,15914
319,Bentley,Jonathan Joseph,2934,15.8,ELECTED,Liberal Democrats,4 Years,40.8, Weetwood,15914
320,Gibson,James Garry,2699,14.6,ELECTED,Labour Party,1 Year,40.8, Weetwood,15914
321,Hemingway,Martin Francis,955,5.2,,Green Party,,40.8, Weetwood,15914
322,Jennings,Brian David Timothy,2488,13.4,,Liberal Democrats,,40.8, Weetwood,15914
323,Jessop,David Graham,694,3.7,,Conservative Party Candidate,,40.8, Weetwood,15914
324,Kiernan,Howard Geoffrey,674,3.6,,Conservative Party Candidate,,40.8, Weetwood,15914
325,Knight,Christine Jane,2717,14.7,ELECTED,Labour Party,2 Years,40.8, Weetwood,15914
326,McMahon,John,2418,13.1,,Labour Party,,40.8, Weetwood,15914
327,Sebire,Lynda Frances,2241,12.1,,Liberal Democrats,,40.8, Weetwood,15914
328,Egan,Jan,1069,6.1,,Labour Party,,, Wetherby,15954
329,Harrington,Norma Agnes,4160,23.8,ELECTED,Conservative Party Candidate,4 Years,, Wetherby,15954
330,Hopps,David Kenneth,1189,6.8,,Liberal Democrats,,, Wetherby,15954
331,Lamb,Alan James,4126,23.6,ELECTED,Conservative Party Candidate,2 Years,, Wetherby,15954
332,Lynch,John,1308,7.5,,Labour Party,,, Wetherby,15954
333,Pearce,Martin,704,4.0,,Green Party,,, Wetherby,15954
334,Ratcliffe,Paul David,875,5.0,,Labour Party,,, Wetherby,15954
335,Wilkinson,Gerald,4067,23.2,ELECTED,Conservative Party Candidate,1 Year,, Wetherby,15954
